campaign,frequency,objective,initialization,max_time_seconds,require_terms_over_differenced,n_rows,n_ok,sarimax_commit,commit_evidence,started,finished,wall_hours,cpu_hours,julia_version,jump_version,moi_version,ipopt_version,scip_version,os,arch,host
cel_huber_zeroed_monthly,monthly,huber,zeroed,600.0,true,48000,48000,87f7bfb,reflog,2026-08-23T23:17:27,2026-08-24T04:18:41,5.02,24.26,1.10.12,1.31.1,1.52.0,1.15.0,0.11.6-unused,Windows 10 Pro 10.0.19045,x86_64-w64-mingw32,ICARAI
cel_huber_zeroed_quarterly,quarterly,huber,zeroed,600.0,true,24000,24000,87f7bfb,reflog,2026-08-23T18:33:08,2026-08-23T19:31:37,0.97,3.85,1.10.12,1.31.1,1.52.0,1.15.0,0.11.6-unused,Windows 10 Pro 10.0.19045,x86_64-w64-mingw32,ICARAI
cel_huber_zeroed_weekly,weekly,huber,zeroed,600.0,true,359,359,87f7bfb,reflog,2026-08-23T16:09:54,2026-08-23T16:14:47,0.08,0.40,1.10.12,1.31.1,1.52.0,1.15.0,0.11.6-unused,Windows 10 Pro 10.0.19045,x86_64-w64-mingw32,ICARAI
cel_huber_zeroed_yearly,yearly,huber,zeroed,600.0,true,23000,23000,87f7bfb,reflog,2026-08-23T16:49:48,2026-08-23T17:20:35,0.51,0.83,1.10.12,1.31.1,1.52.0,1.15.0,0.11.6-unused,Windows 10 Pro 10.0.19045,x86_64-w64-mingw32,ICARAI
cel_mae_zeroed_monthly,monthly,mae,zeroed,600.0,true,48000,48000,87f7bfb,reflog,2026-08-24T04:18:42,2026-08-24T08:11:31,3.88,17.37,1.10.12,1.31.1,1.52.0,1.15.0,0.11.6-unused,Windows 10 Pro 10.0.19045,x86_64-w64-mingw32,ICARAI
cel_mae_zeroed_quarterly,quarterly,mae,zeroed,600.0,true,24000,24000,87f7bfb,reflog,2026-08-23T19:31:38,2026-08-23T20:19:09,0.79,2.45,1.10.12,1.31.1,1.52.0,1.15.0,0.11.6-unused,Windows 10 Pro 10.0.19045,x86_64-w64-mingw32,ICARAI
cel_mae_zeroed_weekly,weekly,mae,zeroed,600.0,true,359,359,87f7bfb,reflog,2026-08-23T16:14:48,2026-08-23T16:19:08,0.07,0.41,1.10.12,1.31.1,1.52.0,1.15.0,0.11.6-unused,Windows 10 Pro 10.0.19045,x86_64-w64-mingw32,ICARAI
cel_mae_zeroed_yearly,yearly,mae,zeroed,600.0,true,23000,23000,87f7bfb,reflog,2026-08-23T17:20:36,2026-08-23T17:51:13,0.51,0.56,1.10.12,1.31.1,1.52.0,1.15.0,0.11.6-unused,Windows 10 Pro 10.0.19045,x86_64-w64-mingw32,ICARAI
cel_mse_zeroed_monthly,monthly,mse,zeroed,600.0,true,48000,48000,87f7bfb,reflog,2026-08-23T20:19:10,2026-08-23T23:17:26,2.97,11.52,1.10.12,1.31.1,1.52.0,1.15.0,0.11.6-unused,Windows 10 Pro 10.0.19045,x86_64-w64-mingw32,ICARAI
cel_mse_zeroed_quarterly,quarterly,mse,zeroed,600.0,true,24000,24000,87f7bfb,reflog,2026-08-23T17:51:14,2026-08-23T18:33:07,0.70,1.81,1.10.12,1.31.1,1.52.0,1.15.0,0.11.6-unused,Windows 10 Pro 10.0.19045,x86_64-w64-mingw32,ICARAI
