# provenance: campaign=E sarimax_commit=aa68d57 sarimax_tree=clean julia=1.9.4 platform=Windows-x86_64 source_file=eixos_weekly.csv
# Solver versions and harness repository state were not captured at run time; see REPRODUCE.md for the reconstruction and its evidence.
# original header: celula,freq,series,p,d,q,P,D,Q,smape,mase,tempo,status
cell,freq,series,p,d,q,P,D,Q,smape,mase,seconds,status,campaign,sarimax_commit,sarimax_tree,harness_commit,harness_tree,julia,moi,ipopt,jump,platform,source_file
"base","weekly",1,4,2,1,0,0,0,2.7753,15.4297,63.14,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",2,5,2,2,0,0,0,3.8045,11.135,63.82,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",3,4,2,3,0,0,0,0.7184,2.129,69.29,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",4,2,1,2,0,0,0,15.4271,1.3056,72.14,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",5,3,1,2,0,0,0,12.3039,0.3162,67.07,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",6,4,1,1,0,0,0,23.4728,0.8408,66.4,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",7,3,1,4,0,0,0,25.955,0.5558,75.57,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",8,3,0,2,0,0,0,27.8404,1.5565,61.87,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",9,3,0,2,0,0,0,10.4282,0.8346,62.36,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",10,2,1,4,0,0,0,5.5984,5.0412,63.41,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",11,4,1,5,0,0,0,13.6106,0.3886,9.18,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",12,1,1,2,0,0,0,2.609,2.1799,2.24,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",13,1,1,5,0,0,0,4.0137,4.3688,4.56,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",14,0,1,2,0,0,0,2.6534,2.2844,1.14,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",15,3,1,1,0,0,0,11.9194,5.1873,3.15,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",16,0,1,3,0,0,0,11.6839,5.2348,1.18,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",17,1,2,2,0,0,0,1.9174,6.5133,1.63,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",18,1,2,2,0,0,0,4.0123,5.3345,2.16,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",19,3,1,2,0,0,0,20.4476,0.5288,7.79,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",20,5,1,2,0,0,0,13.488,0.9469,10.01,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",21,2,1,2,0,0,0,15.5104,0.5296,7.02,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",22,2,1,1,0,0,0,13.4665,0.4179,5.6,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",23,5,1,2,0,0,0,11.0634,0.5574,8.5,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",24,5,1,3,0,0,0,25.0438,1.1203,11.47,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",25,1,0,2,0,0,0,29.347,1.766,3.02,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",26,2,1,3,0,0,0,24.8446,0.8403,12.01,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",27,2,1,3,0,0,0,25.5461,1.0137,9.06,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",28,1,0,0,0,0,0,43.362,1.5383,1.74,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",29,2,1,2,0,0,0,31.5768,1.226,7.38,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",30,2,1,3,0,0,0,18.5318,1.2145,13.16,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",31,3,1,2,0,0,0,37.7879,1.887,7.17,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",32,4,1,3,0,0,0,30.1167,1.7575,10.92,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",33,1,1,1,0,0,0,19.7763,1.4548,5.67,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",34,4,1,3,0,0,0,31.7585,2.2687,18.21,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",35,2,1,2,0,0,0,38.3708,1.6491,6.81,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",36,4,1,2,0,0,0,15.2676,1.9883,6.97,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",37,3,1,3,0,0,0,1.6905,2.7173,3.44,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",38,0,1,0,0,0,0,1.9164,1.618,0.35,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",39,1,1,2,0,0,0,1.6722,3.5835,4.6,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",40,1,1,1,0,0,0,1.875,4.1315,4.72,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",41,0,1,0,0,0,0,1.8098,1.4975,0.87,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",42,0,1,0,0,0,0,1.8069,1.4775,0.74,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
