# provenance: campaign=D sarimax_commit=3d7f883 sarimax_tree=clean julia=1.9.4 platform=Windows-x86_64 source_file=isolamento.csv
# Solver versions and harness repository state were not captured at run time; see REPRODUCE.md for the reconstruction and its evidence.
# original header: braco,freq,series,smape,mase,mase_den,tempo,status,forecast,actual
arm,freq,series,smape,mase,mase_den,seconds,status,forecast,actual,campaign,sarimax_commit,sarimax_tree,harness_commit,harness_tree,julia,moi,ipopt,jump,platform,source_file
"v0_6","weekly",1,2.1319,11.8764,63.683039,58.02,"OK","35388.743887;35380.327775;35371.911662;35363.49555;35355.079437;35346.663325;35338.247212;35329.831099;35321.414987;35312.998874;35304.582762;35296.166649;35287.750537","35397.16;35808.59;35808.59;36246.14;36246.14;36403.7;36403.7;36150.2;36150.2;35790.55;35790.55;34066.95;34066.95","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",2,3.65,10.6934,12.059744,61.14,"OK","3493.605029;3501.493615;3487.815997;3455.078907;3456.441393;3462.664581;3461.312325;3451.027767;3447.737422;3448.189131;3447.190201;3442.902451;3439.634444","3608.061;3624.368;3537.64;3587.344;3662.088;3658.634;3622.148;3591.48;3638.559;3635.781;3522.328;3458.631;3354.758","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",3,0.7266,2.1532,33.355168,1159.74,"OK","9663.632999;9883.006059;9870.384188;9707.679432;9655.931452;9861.245191;9912.744216;9822.666526;9704.399726;9835.831367;9937.976802;9904.313617;9788.661672","9602.4;9895.9;9915.9;9726.6;9626.5;9966.1;10008.5;9911.7;9760.7;9968.2;10089.1;10005.9;9823.3","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",4,23.3379,1.8618,353.363471,60.77,"OK","2311.679753;2288.123918;2280.63875;2278.260242;2277.50444;2277.264275;2277.187959;2277.163709;2277.156003;2277.153554;2277.152776;2277.152529;2277.152451","2336.56;2373.14;2457.51;2586.0;2237.7;2877.94;2497.74;3525.34;3053.33;3151.07;3425.79;3505.61;4098.69","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",5,12.0551,0.3093,705.777154,67.23,"OK","1632.103256;1701.062573;1803.36071;1838.318598;1893.891349;1909.569811;1940.465626;1946.901961;1964.298622;1966.527518;1976.445592;1976.878725;1982.606048","1499.0;1734.0;1391.0;1833.0;1637.0;2122.0;1757.0;2079.0;2477.0;1957.0;1907.0;1752.0;1330.0","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",6,23.6238,0.846,226.755153,142.33,"OK","528.864893;569.237834;585.321781;607.762217;612.395699;626.025449;625.435719;634.628397;631.768341;638.629783;634.891049;640.443281;636.473782","502.0;568.0;528.0;632.0;606.0;785.0;779.0;834.0;906.0;1372.0;1080.0;938.0;752.0","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",7,25.523,0.5468,1774.552434,70.92,"OK","2918.099819;3116.761459;3284.114159;3210.845578;3218.827399;3224.537466;3228.622356;3231.54462;3233.635162;3235.130701;3236.200587;3236.965965;3237.513505","3117.0;2579.0;3199.0;1716.0;4558.0;3001.0;3263.0;3110.0;5899.0;7148.0;4048.0;2707.0;2579.0","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",8,27.6576,1.5478,834.673243,59.91,"OK","3198.772432;3372.816015;3537.805829;3687.316588;3817.850368;3927.541547;4015.725056;4082.701231;4129.544323;4157.923846;4169.936091;4167.948836;4154.462537","3430.0;2870.0;4620.0;4890.0;7470.0;6960.0;6430.0;3970.0;3650.0;5730.0;4500.0;2870.0;3270.0","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",9,10.6404,0.851,1068.740949,62.15,"OK","7724.013401;8056.143214;8089.513747;8379.588648;8517.031442;8621.632084;8728.017779;8820.880788;8908.513674;8987.928282;9061.411656;9128.677419;9190.595247","8100.0;7481.0;8953.0;8087.0;9724.0;8993.0;10011.0;9705.0;8397.0;7560.0;8669.0;7574.0;7106.0","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",10,5.6029,5.0452,59.303966,64.07,"OK","5155.644852;5123.354697;5149.488491;5128.215892;5144.251925;5133.509404;5139.176989;5138.140896;5135.159081;5141.430527;5132.659149;5143.128051;5131.734393","5122.14;5104.68;5104.68;5104.68;5565.7;5565.7;5565.7;5565.7;5565.7;5544.94;5544.94;5544.94;5544.94","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",11,11.3773,0.3171,123.669035,10.37,"OK","348.909758;350.307418;341.851789;349.338239;366.842955;372.363717;363.530749;362.962637;375.70287;384.241849;377.893143;372.376871;379.555736","337.19;359.52;357.62;368.22;328.77;391.31;340.06;323.19;323.3;339.94;316.45;295.99;280.07","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",12,2.6502,2.2137,12.70614,1.36,"OK","1038.794583;1040.755721;1042.131977;1043.097784;1043.775553;1044.251186;1044.584969;1044.819205;1044.983584;1045.098939;1045.179892;1045.236701;1045.276567","1092.0;1085.0;1078.0;1071.0;1064.0;1057.0;1050.0;1043.0;1092.0;1085.0;1078.0;1071.0;1064.0","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",13,3.762,4.0891,22.460771,3.05,"OK","2485.74023;2466.290609;2457.868549;2470.080508;2453.260487;2430.707494;2413.853054;2408.739566;2400.893604;2391.164889;2383.098021;2379.679526;2377.268776","2373.445;2373.105;2453.974;2390.353;2324.83;2337.239;2375.971;2398.802;2350.108;2363.517;2484.652;2558.814;2653.311","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",14,2.6624,2.2921,28.161635,1.64,"OK","2414.076968;2412.148921;2417.955821;2423.029684;2424.664744;2426.386031;2428.730688;2431.246977;2433.619238;2435.934898;2438.270136;2440.623855;2442.975821","2341.516;2407.573;2435.3;2361.92;2310.927;2322.117;2408.718;2476.214;2361.203;2393.436;2552.503;2554.351;2500.651","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",15,11.9586,5.2036,102.987042,2.27,"OK","4355.248349;4039.253527;4208.23129;4230.377007;4161.741969;4155.914828;4177.953145;4183.342027;4183.302712;4188.856931;4195.789953;4201.160757;4206.296005","4231.0;4311.68;3848.09;4149.38;3633.49;3553.49;3743.59;4626.91;4235.48;4288.81;5601.72;5737.57;5232.13","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",16,11.9341,5.3411,100.209264,4.33,"OK","4407.75944;4128.531301;4236.732822;4222.709886;4170.01405;4170.1957;4182.482601;4184.834488;4187.392893;4193.24353;4199.098038;4204.364091;4209.793317","4231.0;4311.68;3848.09;4149.38;3633.49;3553.49;3743.59;4626.91;4235.48;4288.81;5601.72;5737.57;5232.13","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",17,2.0187,6.8523,35.973431,3.31,"OK","12039.732535;12033.389568;12015.833985;12000.163183;11995.84372;12003.63944;12016.797144;12026.581583;12027.966811;12021.99104;12013.974805;12009.471232;12010.84281","12027.16;12027.2;12027.24;11985.62;11985.74;12432.86;12432.99;12418.26;12418.32;12418.37;12418.43;12418.49;12323.22","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",18,4.0,5.3179,30.943444,1.54,"OK","4315.370189;4306.751745;4292.015262;4280.829591;4267.583086;4255.532655;4242.788042;4230.446322;4217.870769;4205.430929;4192.912323;4180.439431;4167.940008","4334.57;4334.61;4334.65;4351.65;4351.77;3846.99;3954.85;3996.48;3992.55;3992.61;3992.68;3992.75;4029.96","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",19,21.1492,0.546,1543.618364,271.92,"OK","2726.050057;2967.105711;3117.015021;3146.773583;3146.773583;3146.773583;3146.773583;3146.773583;3146.773583;3146.773583;3146.773583;3146.773583;3146.773583","2754.0;3035.0;2591.0;2808.0;2324.0;4033.0;3146.0;3402.0;3677.0;4790.0;7520.0;4445.0;2960.0","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",20,12.6618,0.8815,542.357277,6.01,"OK","4073.523938;4218.48567;4163.859296;4164.224407;4164.224407;4164.224407;4164.224407;4164.224407;4164.224407;4164.224407;4164.224407;4164.224407;4164.224407","3942.0;4184.0;3374.0;4291.0;2657.0;4258.0;4050.0;3730.0;3311.0;3154.0;4551.0;4677.0;3944.0","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",21,15.0947,0.5157,784.55965,6.78,"OK","2164.818584;2277.507086;2359.608525;2424.238724;2477.395259;2522.114262;2560.154227;2592.684642;2620.57323;2644.510484;2665.067564;2682.726338;2697.897261","2203.0;2234.0;1786.0;2582.0;2838.0;2949.0;2483.0;2184.0;3809.0;3395.0;3194.0;2744.0;2054.0","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",22,13.437,0.4169,1167.023661,4.99,"OK","3797.271888;3711.315945;3807.604669;3804.228956;3776.232937;3785.764748;3791.304234;3786.746519;3786.462968;3787.922958;3787.564402;3787.233389;3787.442132","3780.0;4430.0;3380.0;4100.0;2710.0;3980.0;3720.0;3300.0;3460.0;2760.0;4730.0;3930.0;3180.0","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
"v0_6","weekly",23,11.114,0.5601,144.670269,6.99,"OK","769.058392;782.218852;794.446393;787.065556;784.503709;785.12458;785.54357;782.608434;780.212583;779.334558;779.038638;778.430204;778.003552","753.8;767.6;722.9;769.5;536.6;756.4;813.0;732.2;617.9;617.0;901.1;872.9;739.2","D","3d7f883","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","isolamento.csv"
