# provenance: campaign=A sarimax_commit=aa68d57 sarimax_tree=clean julia=1.9.4 platform=Windows-x86_64 source_file=m4_innov_quarterly.csv
# Solver versions and harness repository state were not captured at run time; see REPRODUCE.md for the reconstruction and its evidence.
# original header: freq,series,T,p,d,q,P,D,Q,smape,mase,mase_den,prev_neg,tempo,solver,status,forecast,actual
freq,series,T,p,d,q,P,D,Q,smape,mase,mase_den,forecast_negative,seconds,solver_status,status,forecast,actual,campaign,sarimax_commit,sarimax_tree,harness_commit,harness_tree,julia,moi,ipopt,jump,platform,source_file
"quarterly",22956,43,0,1,0,1,0,0,56.2393,1.2854,625.881538,0,57.25,"LOCALLY_SOLVED","OK","1682.351489;1682.144996;1435.768786;1698.032048;1794.17969;1794.268522;1900.258005;1787.434013","953.37;1335.64;1743.49;2875.14;1049.42;2279.8;404.81;637.62","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",9058,121,0,1,1,0,0,0,11.888,1.2473,396.190671,0,56.47,"LOCALLY_SOLVED","OK","3918.525001;3918.525001;3918.525001;3918.525001;3918.525001;3918.525001;3918.525001;3918.525001","4875.22894;4084.27691;4810.78695;3796.49839;3397.5453;3706.68403;4346.80726;4573.93507","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",18618,81,1,0,0,2,1,1,4.0964,0.691,669.211216,0,56.99,"LOCALLY_SOLVED","OK","10558.944549;12814.283198;11069.906352;10060.962763;11053.746634;13123.946977;10957.483541;10074.691287","10642.248269;11780.189118;10730.240016;9601.962905;10852.941922;12679.131931;11583.077543;10587.053897","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",10739,114,3,1,0,0,0,0,4.5444,1.1951,196.360527,0,57.67,"LOCALLY_SOLVED","OK","4907.300421;4836.913773;4958.207007;4951.987718;5037.485681;5047.666949;5111.403514;5134.103824","4813.656;4716.791;4942.472;5348.93;5402.192;5395.02;5401.124;5383.228","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",14235,58,2,1,0,2,0,0,2.2503,0.4741,74.703704,0,2.61,"LOCALLY_SOLVED","OK","1551.649469;1482.406885;1501.503838;1527.966971;1599.748703;1578.208812;1566.600869;1616.707453","1662.0;1556.0;1515.0;1534.0;1586.0;1559.0;1552.0;1649.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",10135,106,1,0,0,0,0,0,42.9901,1.502,379.607843,0,0.62,"LOCALLY_SOLVED","OK","1015.564937;1016.064622;1016.506593;1016.897514;1017.243283;1017.549115;1017.819622;1018.058885","1182.0;1481.0;1584.0;1620.0;1768.0;1739.0;1596.0;1727.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",16254,122,1,1,0,0,0,0,1.9894,0.4534,434.067797,0,56.71,"LOCALLY_SOLVED","OK","10025.534448;10024.53739;10024.314769;10024.265063;10024.253965;10024.251487;10024.250934;10024.25081","10060.0;9850.0;9770.0;9710.0;9820.0;9670.0;9800.0;10010.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",7123,69,1,1,0,1,0,0,71.0349,2.9832,419.861538,0,59.26,"LOCALLY_SOLVED","OK","1950.891072;1575.373176;1203.486693;1199.37641;1144.959293;973.39596;803.491654;801.613787","2574.0;2574.0;2530.0;2515.0;2709.0;2432.0;2234.0;2105.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",4935,78,0,1,1,0,0,1,7.8928,2.9561,334.72973,0,1.41,"LOCALLY_SOLVED","OK","11913.082468;11919.876954;11912.787695;11863.730321;11848.627222;11848.627222;11848.627222;11848.627222","12000.0;12160.0;12590.0;12550.0;13150.0;13560.0;13540.0;13370.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",21327,118,0,1,1,0,0,0,22.3138,2.6734,781.842105,0,58.03,"LOCALLY_SOLVED","OK","10513.936213;10513.936213;10513.936213;10513.936213;10513.936213;10513.936213;10513.936213;10513.936213","8830.0;9420.0;8890.0;8620.0;7340.0;7790.0;8160.0;8340.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
