# provenance: campaign=A sarimax_commit=aa68d57 sarimax_tree=clean julia=1.9.4 platform=Windows-x86_64 source_file=m4_innov_weekly_moi148.csv
# Solver versions and harness repository state were not captured at run time; see REPRODUCE.md for the reconstruction and its evidence.
# original header: freq,series,T,p,d,q,P,D,Q,smape,mase,mase_den,prev_neg,tempo,solver,status,forecast,actual
freq,series,T,p,d,q,P,D,Q,smape,mase,mase_den,forecast_negative,seconds,solver_status,status,forecast,actual,campaign,sarimax_commit,sarimax_tree,harness_commit,harness_tree,julia,moi,ipopt,jump,platform,source_file
"weekly",304,80,0,0,1,0,0,0,12.5022,0.7908,426.949367,0,54.46,"LOCALLY_SOLVED","OK","3286.448501;3007.153372;3007.153372;3007.153372;3007.153372;3007.153372;3007.153372;3007.153372;3007.153372;3007.153372;3007.153372;3007.153372;3007.153372","3253.0;2595.0;2754.0;2963.0;2634.0;1609.0;2817.0;3632.0;3136.0;2790.0;2432.0;3129.0;3024.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",305,80,1,0,0,0,0,0,19.5777,1.3283,434.835443,0,0.19,"LOCALLY_SOLVED","OK","3354.983664;3363.817249;3370.328797;3375.12869;3378.666862;3381.274973;3383.197505;3384.614672;3385.659315;3386.429359;3386.996986;3387.415403;3387.723834","3358.0;2770.0;2791.0;2943.0;2574.0;1892.0;2428.0;3243.0;2828.0;2730.0;2560.0;3425.0;2957.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",295,80,0,1,2,0,0,0,11.1841,0.7033,486.56962,0,54.55,"LOCALLY_SOLVED","OK","2898.984999;2845.424192;2845.424192;2845.424192;2845.424192;2845.424192;2845.424192;2845.424192;2845.424192;2845.424192;2845.424192;2845.424192;2845.424192","3090.0;3218.0;3071.0;3054.0;3124.0;3185.0;3205.0;3158.0;3235.0;3157.0;3002.0;3736.0;3258.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",306,80,1,0,0,0,0,0,17.9102,1.1463,354.43038,0,0.2,"LOCALLY_SOLVED","OK","2674.053393;2643.304261;2623.987107;2611.851726;2604.228063;2599.438741;2596.430004;2594.539862;2593.352441;2592.606482;2592.137857;2591.843458;2591.658512","2558.0;2048.0;2187.0;2435.0;1885.0;1225.0;2385.0;3028.0;2388.0;2236.0;2135.0;2696.0;2497.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",302,80,1,0,0,0,0,0,11.2443,0.8973,397.35443,0,54.96,"LOCALLY_SOLVED","OK","3070.7113;2982.428684;2938.218134;2916.078185;2904.990845;2899.43848;2896.657942;2895.265492;2894.568175;2894.21897;2894.044093;2893.956518;2893.912661","3121.0;2733.0;2775.0;3159.0;2695.0;2770.0;3158.0;2702.0;3445.0;3021.0;3534.0;4221.0;3385.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",296,80,0,0,1,0,0,0,11.0088,0.7255,424.227848,0,54.82,"LOCALLY_SOLVED","OK","3299.035494;2945.639332;2945.639332;2945.639332;2945.639332;2945.639332;2945.639332;2945.639332;2945.639332;2945.639332;2945.639332;2945.639332;2945.639332","3427.0;2655.0;2957.0;3214.0;2609.0;1843.0;2775.0;3629.0;3045.0;2894.0;2500.0;3242.0;3062.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",309,80,1,0,0,0,0,0,10.049,0.8771,782.329114,0,0.12,"LOCALLY_SOLVED","OK","6584.33829;6511.065237;6460.252692;6425.0158;6400.580129;6383.634765;6371.883691;6363.734693;6358.08362;6354.16478;6351.447188;6349.562625;6348.255739","7378.0;6631.0;6561.0;7425.0;7372.0;6258.0;8446.0;7995.0;6836.0;6070.0;5230.0;6259.0;6478.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",311,80,1,0,0,0,0,0,9.259,0.71,628.987342,0,0.16,"LOCALLY_SOLVED","OK","5096.836703;4904.053602;4786.873195;4715.646787;4672.35285;4646.037259;4630.04171;4620.319048;4614.409269;4610.817095;4608.633645;4607.306466;4606.49976","5535.0;4926.0;4816.0;5557.0;5197.0;3914.0;4856.0;5834.0;5014.0;4424.0;3970.0;4932.0;4835.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",312,80,1,0,1,0,0,0,11.419,1.1393,441.329114,0,0.22,"LOCALLY_SOLVED","OK","4158.656961;4103.366842;4058.628565;4022.428362;3993.136786;3969.43536;3950.257232;3934.739153;3922.182621;3912.02244;3903.801279;3897.149085;3891.766428","4895.0;4096.0;4309.0;4967.0;5689.0;3706.0;4645.0;4642.0;4373.0;3965.0;3795.0;4215.0;4198.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",310,80,0,1,1,0,0,0,16.0487,1.1587,694.113924,0,0.43,"LOCALLY_SOLVED","OK","4471.322698;4471.322698;4471.322698;4471.322698;4471.322698;4471.322698;4471.322698;4471.322698;4471.322698;4471.322698;4471.322698;4471.322698;4471.322698","5183.0;4647.0;5227.0;5734.0;5549.0;4025.0;5253.0;6645.0;5251.0;4651.0;4383.0;5649.0;5316.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",313,80,1,1,1,0,0,0,13.3103,0.9174,300.126582,0,0.72,"LOCALLY_SOLVED","OK","1979.926456;1944.716825;1923.730812;1911.222509;1903.76718;1899.323577;1896.675054;1895.096454;1894.15556;1893.594759;1893.260504;1893.061278;1892.942533","2115.0;2203.0;2102.0;2090.0;2138.0;2180.0;2194.0;2162.0;2214.0;2161.0;2055.0;2557.0;2230.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",297,80,0,0,1,0,0,0,11.9859,0.6973,808.835443,0,54.91,"LOCALLY_SOLVED","OK","5116.132235;5126.713876;5126.713876;5126.713876;5126.713876;5126.713876;5126.713876;5126.713876;5126.713876;5126.713876;5126.713876;5126.713876;5126.713876","5520.0;4651.0;4787.0;5396.0;4341.0;3130.0;4231.0;4702.0;5425.0;4859.0;4622.0;5740.0;5070.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
