# provenance: campaign=C sarimax_commit=not_recorded sarimax_tree=not_recorded julia=not_recorded platform=Windows-x86_64 source_file=multistart_aleatorio.csv
# Solver versions and harness repository state were not captured at run time; see REPRODUCE.md for the reconstruction and its evidence.
# original header: series,T,celula,p,d,q,P,D,Q,smape,mase,max_coef,prev_neg,venceu_css,tempo,status
series,T,cell,p,d,q,P,D,Q,smape,mase,max_coef,forecast_negative,multistart_beat_zero,seconds,status,campaign,sarimax_commit,sarimax_tree,harness_commit,harness_tree,julia,moi,ipopt,jump,platform,source_file
12171,306,"base",0,1,0,0,1,1,0.5727,0.2551,0.8391,0,0,56.22,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
12171,306,"multi",0,1,0,0,1,1,0.5727,0.2551,0.8391,0,0,21.38,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
18219,69,"base",0,1,0,0,0,0,23.0134,0.6967,0.0,0,0,48.47,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
18219,69,"multi",0,1,0,0,0,0,23.0134,0.6967,0.0,0,0,3.26,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
35011,82,"base",0,1,1,0,0,1,28.6593,1.7881,0.6082,0,0,48.35,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
35011,82,"multi",0,1,1,0,0,1,28.6593,1.7881,0.6082,0,1,2.77,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
45147,67,"base",0,0,0,0,0,0,36.0155,0.5626,0.0,0,0,56.8,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
45147,67,"multi",0,0,0,0,0,0,36.0155,0.5626,0.0,0,0,15.74,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
29674,306,"base",2,0,1,2,1,0,0.8987,0.244,1.9589,0,0,77.97,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
29674,306,"multi",2,0,1,2,1,0,0.8987,0.244,1.9589,0,0,129.32,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
3554,168,"base",0,1,1,0,0,1,29.3875,0.294,0.7669,0,0,57.55,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
3554,168,"multi",0,1,1,0,0,1,29.3875,0.294,0.7669,0,1,15.72,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
8888,69,"base",0,1,2,0,0,0,48.0877,1.8334,0.3187,0,0,1.44,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
8888,69,"multi",0,1,2,0,0,0,48.0877,1.8334,0.3187,0,0,4.17,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
13153,102,"base",2,1,2,0,0,0,2.4237,0.8714,1.0553,0,0,6.98,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
13153,102,"multi",2,1,2,0,0,0,2.4237,0.8714,1.0553,0,0,15.66,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
7143,69,"base",0,1,0,0,0,0,18.8926,0.5154,0.0,0,0,0.4,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
7143,69,"multi",0,1,0,0,0,0,18.8926,0.5154,0.0,0,0,1.35,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
42937,79,"base",1,1,0,0,0,1,20.9964,1.6015,0.747,0,0,1.23,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
42937,79,"multi",1,1,0,0,0,1,20.9964,1.6015,0.747,0,0,5.49,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
38687,305,"base",3,1,2,1,0,0,6.2562,1.4361,0.5219,0,0,23.02,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
38687,305,"multi",3,1,2,1,0,0,6.2562,1.4361,0.5219,0,0,78.66,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
28200,234,"base",2,1,1,0,1,1,1.2349,0.9523,0.6741,0,0,8.18,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
28200,234,"multi",2,1,1,0,1,1,1.2349,0.9523,0.6741,0,0,14.77,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
35788,218,"base",2,1,3,0,0,0,7.5791,0.7003,0.6869,0,0,19.85,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
35788,218,"multi",2,1,3,0,0,0,7.5791,0.7003,0.6869,0,0,55.75,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
12288,282,"base",2,1,2,0,1,1,1.4934,0.8996,1.8446,0,0,17.44,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
12288,282,"multi",0,1,0,1,1,1,1.6308,0.9819,0.7957,0,0,31.47,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
41433,290,"base",1,0,2,0,1,1,2.7154,1.0904,0.9056,0,0,29.67,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
41433,290,"multi",1,0,2,0,1,1,2.7154,1.0904,0.9056,0,0,53.12,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
41377,290,"base",0,1,1,0,0,0,16.0372,1.4716,0.6975,0,0,19.06,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
41377,290,"multi",0,1,1,0,0,0,16.0372,1.4716,0.6975,0,0,36.32,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
20414,69,"base",1,1,1,0,0,0,17.6608,0.2891,0.7626,0,0,3.27,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
20414,69,"multi",1,1,1,0,0,0,17.6608,0.2891,0.7626,0,1,8.03,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
7711,104,"base",2,1,2,0,0,0,45.0055,1.2794,1.8964,0,0,2.61,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
7711,104,"multi",2,1,2,0,0,0,45.0055,1.2794,1.8964,0,1,8.15,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
35945,335,"base",0,2,2,0,0,0,6.7663,0.5228,1.4383,0,0,16.88,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
35945,335,"multi",0,2,2,0,0,0,6.7663,0.5228,1.4383,0,0,53.24,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
13063,306,"base",0,1,0,0,1,1,2.4428,1.0533,0.8863,0,0,7.89,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
13063,306,"multi",0,1,0,0,1,1,2.4428,1.0533,0.8863,0,0,24.4,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
7047,104,"base",3,2,0,0,0,0,2.8159,0.2184,0.5881,0,0,2.5,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
7047,104,"multi",1,2,2,0,0,0,3.4673,0.2708,1.2297,0,0,5.03,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
24252,224,"base",1,1,2,0,0,2,10.568,0.3847,0.8085,0,0,14.68,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
24252,224,"multi",1,1,2,0,0,2,10.568,0.3847,0.8085,0,0,36.21,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
45168,67,"base",0,1,1,0,0,0,47.6573,1.0466,0.7302,0,0,0.92,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
45168,67,"multi",0,1,1,0,0,0,47.6573,1.0466,0.7302,0,0,2.17,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
26199,202,"base",0,1,1,0,0,0,5.8422,1.1877,0.3993,0,0,4.01,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
26199,202,"multi",0,1,1,0,0,0,5.8422,1.1877,0.3993,0,0,8.08,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
16096,317,"base",5,1,4,2,0,0,8.8529,0.5155,1.1967,0,0,59.0,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
16096,317,"multi",5,1,4,2,0,0,8.8529,0.5155,1.1967,0,0,208.37,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
3253,269,"base",0,1,1,0,0,2,6.0619,0.3445,0.62,0,0,10.12,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
3253,269,"multi",0,1,1,0,0,2,6.0619,0.3445,0.62,0,0,32.58,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
2685,188,"base",1,1,1,0,0,0,43.4447,4.4164,0.8728,0,0,6.03,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
2685,188,"multi",3,1,5,0,0,0,43.6369,4.4422,0.5928,0,0,48.88,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
20350,69,"base",2,2,0,0,0,0,57.1853,2.3129,0.749,0,0,0.87,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
20350,69,"multi",2,2,0,0,0,0,57.1853,2.3129,0.749,0,0,3.43,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
14963,175,"base",1,1,3,0,1,2,6.4955,1.1353,0.89,0,0,9.61,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
14963,175,"multi",1,1,3,0,1,2,6.4955,1.1353,0.89,0,0,31.6,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
43438,270,"base",0,1,4,0,0,1,2.1313,0.7031,0.3761,0,0,68.56,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
43438,270,"multi",0,1,4,0,0,1,2.1313,0.7031,0.3761,0,0,116.24,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
29151,306,"base",2,1,4,0,0,2,3.3273,0.5628,0.8841,0,0,97.81,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
29151,306,"multi",2,1,4,0,0,2,3.3273,0.5628,0.8841,0,0,167.53,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
10129,618,"base",5,2,2,1,0,1,0.6833,0.4125,1.3142,0,0,333.32,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
10129,618,"multi",5,2,1,1,0,1,0.7021,0.4239,0.9666,0,1,525.41,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
46706,143,"base",1,1,1,0,0,0,11.4014,1.1171,0.8064,0,0,6.68,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
46706,143,"multi",1,1,1,0,0,0,11.4014,1.1171,0.8064,0,0,14.32,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
27163,139,"base",0,1,0,0,0,0,1.9874,0.4258,0.0,0,0,1.03,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
27163,139,"multi",0,1,0,0,0,0,1.9874,0.4258,0.0,0,0,4.73,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
20282,69,"base",0,1,2,0,0,2,51.8371,0.674,1.4969,0,0,1.79,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
20282,69,"multi",2,1,2,0,0,1,11.2145,0.1814,1.9114,0,1,4.03,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
29613,282,"base",0,1,0,2,0,0,0.9934,0.3265,0.372,0,0,10.02,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
29613,282,"multi",0,1,0,2,0,0,0.9934,0.3265,0.372,0,0,16.43,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
23408,306,"base",1,0,0,0,1,2,0.792,0.4977,0.9698,0,0,24.39,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
23408,306,"multi",1,0,0,0,1,2,0.792,0.4977,0.9698,0,0,73.08,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
24751,224,"base",1,1,1,1,0,0,1.6058,0.4721,0.961,0,0,10.88,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
24751,224,"multi",1,1,2,1,0,0,1.6333,0.4803,1.1496,0,1,39.41,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
9066,69,"base",1,0,0,2,1,0,12.8922,0.4743,0.9709,0,0,1.19,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
9066,69,"multi",1,0,0,2,1,0,12.8922,0.4743,0.9709,0,0,5.38,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
24070,334,"base",2,0,1,0,1,1,8.692,1.9563,1.3936,0,0,37.55,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
24070,334,"multi",2,0,1,0,1,1,8.692,1.9563,1.3936,0,0,130.7,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
31591,399,"base",3,1,2,0,0,0,0.9911,0.3228,1.6989,0,0,36.69,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
31591,399,"multi",3,1,2,0,0,0,0.9911,0.3228,1.6989,0,0,77.32,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
9387,69,"base",2,1,2,0,0,2,39.3918,0.2661,1.709,0,0,1.69,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
9387,69,"multi",2,1,2,0,0,2,39.3918,0.2661,1.709,0,0,3.87,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
29357,474,"base",0,2,2,0,0,0,1.5186,0.5317,1.4413,0,0,47.91,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
29357,474,"multi",0,2,2,0,0,0,1.5186,0.5317,1.4413,0,0,97.92,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
46528,104,"base",0,1,0,0,0,0,28.2287,1.0844,0.0,0,0,3.22,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
46528,104,"multi",0,1,0,0,0,0,28.2287,1.0844,0.0,0,0,5.03,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
3192,601,"base",2,1,0,0,0,0,3.0882,0.931,0.4897,0,0,46.25,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
3192,601,"multi",2,1,0,0,0,0,3.0882,0.931,0.4897,0,0,94.04,"OK","C","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","multistart_aleatorio.csv"
