# provenance: campaign=B sarimax_commit=not_recorded sarimax_tree=not_recorded julia=not_recorded platform=Windows-x86_64 source_file=objetivos_monthly.csv
# Solver versions and harness repository state were not captured at run time; see REPRODUCE.md for the reconstruction and its evidence.
# original header: series,T,celula,p,d,q,P,D,Q,smape,mase,max_coef,prev_neg,tempo,status
series,T,cell,p,d,q,P,D,Q,smape,mase,max_coef,forecast_negative,seconds,status,campaign,sarimax_commit,sarimax_tree,harness_commit,harness_tree,julia,moi,ipopt,jump,platform,source_file
27918,169,"ridge",0,1,0,0,1,1,3.1716,0.7819,0.6463,0,58.23,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
27858,390,"mse_zeroed",2,1,1,0,0,0,4.8198,0.6299,1.2339,0,61.0,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
45569,109,"huber",1,1,1,0,0,0,11.5834,0.657,0.8603,0,61.17,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
4865,147,"huber",0,1,2,1,0,0,30.0718,3.2213,0.6975,0,62.05,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
17352,69,"mse",0,1,0,0,0,0,28.5687,0.8944,0.0,0,62.12,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
11298,306,"mse_zeroed",1,0,2,0,1,1,0.616,0.2705,0.9765,0,62.28,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
6399,193,"huber",1,0,2,2,1,0,1.2613,0.5559,0.9613,0,4.61,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
16155,317,"huber",0,1,1,0,0,0,31.053,2.1782,0.2445,0,63.85,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
15024,175,"ridge",3,0,0,1,1,2,2.7364,0.5495,0.2786,0,3.41,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
3129,295,"mse_zeroed",0,1,1,2,0,0,1.3357,0.2889,0.2521,0,2.72,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
191,151,"ridge",0,1,1,0,0,0,2.7963,0.2866,0.2209,0,0.62,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
26701,190,"mse_zeroed",1,2,1,1,0,1,1.5847,0.6093,0.9131,0,2.53,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
39103,137,"mse",0,2,1,0,0,2,11.0488,0.4514,0.8621,0,65.63,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
11899,306,"mse_zeroed",1,0,2,0,1,2,1.6596,0.9609,0.9786,0,5.34,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
6589,218,"mae",2,1,0,0,0,2,18.8989,1.0284,0.7483,0,67.28,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
