# provenance: campaign=B sarimax_commit=not_recorded sarimax_tree=not_recorded julia=not_recorded platform=Windows-x86_64 source_file=objetivos_penal.csv
# Solver versions and harness repository state were not captured at run time; see REPRODUCE.md for the reconstruction and its evidence.
# original header: series,T,celula,p,d,q,P,D,Q,smape,mase,max_coef,prev_neg,tempo,status
series,T,cell,p,d,q,P,D,Q,smape,mase,max_coef,forecast_negative,seconds,status,campaign,sarimax_commit,sarimax_tree,harness_commit,harness_tree,julia,moi,ipopt,jump,platform,source_file
45480,62,"mae_pen",0,1,0,0,0,0,13.8251,0.7178,0.0,0,62.79,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
19086,69,"ridge_pen",0,2,1,0,0,0,60.6222,1.4581,0.8848,0,62.57,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
8870,69,"mae_pen",0,1,0,0,1,1,24.2868,0.5594,0.2905,0,63.37,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
19633,69,"ridge_pen",2,1,1,0,0,0,27.8006,0.5366,0.775,0,2.37,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
17913,69,"mae_pen",0,1,0,0,0,0,27.6572,0.5053,0.0,0,3.52,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
37382,187,"mae_pen",0,1,0,0,0,0,0.4481,0.1055,0.0,0,71.77,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
39974,113,"ridge_pen",1,1,0,0,0,0,26.9339,2.0336,0.2549,0,1.62,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
16568,69,"huber_pen",0,1,1,0,0,1,64.2544,2.1198,0.4812,0,13.17,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
33469,175,"ridge_pen",0,1,2,2,0,0,29.8889,0.2391,0.5318,0,12.49,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
23642,184,"ridge_pen",0,1,1,1,0,0,5.6854,1.9771,0.4256,0,5.93,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
20761,69,"mae_pen",0,1,0,0,1,1,30.3434,1.1357,0.2768,0,2.09,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
1598,306,"ridge_pen",0,1,3,0,1,1,0.249,0.1738,0.4589,0,21.38,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
14198,292,"ridge_pen",0,1,1,1,0,0,15.5621,1.6772,0.1866,0,20.23,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
