campaign,n,errors,remote_failures,censored_orchestration_timeout,censored_model_cap,censoring_rate,error_rate,solver_not_locally_solved,solver_status_breakdown,internal_candidate_statuses,huber_fallback,max_series_seconds
cel_huber_zeroed_monthly,48000,0,0,0,0,0.000000,0.000000,2,ALMOST_LOCALLY_SOLVED=2; LOCALLY_SOLVED=47998,not-recorded,15,245.4
cel_huber_zeroed_quarterly,24000,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=24000,not-recorded,5,27.9
cel_huber_zeroed_weekly,359,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=359,not-recorded,0,42.9
cel_huber_zeroed_yearly,23000,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=23000,not-recorded,0,26.3
cel_mae_zeroed_monthly,48000,0,0,0,0,0.000000,0.000000,1,LOCALLY_SOLVED=47999; TIME_LIMIT=1,not-recorded,0,80.2
cel_mae_zeroed_quarterly,24000,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=24000,not-recorded,0,32.3
cel_mae_zeroed_weekly,359,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=359,not-recorded,0,35.1
cel_mae_zeroed_yearly,23000,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=23000,not-recorded,0,25.8
cel_mse_zeroed_monthly,48000,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=48000,not-recorded,0,105.7
cel_mse_zeroed_quarterly,24000,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=24000,not-recorded,0,27.4
cel_mse_zeroed_weekly,359,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=359,not-recorded,0,34.3
cel_mse_zeroed_yearly,23000,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=23000,not-recorded,0,26.0
censo_ridge_monthly,48000,0,0,0,0,0.000000,0.000000,not-recorded,not-recorded,not-recorded,0,138.7
censo_ridge_quarterly,24000,0,0,0,0,0.000000,0.000000,not-recorded,not-recorded,not-recorded,0,27.8
censo_ridge_weekly,359,0,0,0,0,0.000000,0.000000,not-recorded,not-recorded,not-recorded,0,28.7
censo_ridge_yearly,23000,0,0,0,0,0.000000,0.000000,not-recorded,not-recorded,not-recorded,0,26.4
obj_huber_innov_monthly,48000,0,0,1,0,0.000021,0.000000,0,LOCALLY_SOLVED=47999,not-recorded,11,2028.5
obj_huber_innov_quarterly,24000,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=24000,not-recorded,1,25.9
obj_huber_innov_weekly,359,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=359,not-recorded,0,41.4
obj_huber_innov_yearly,23000,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=23000,not-recorded,0,24.3
obj_mae_innov_monthly,48000,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=48000,not-recorded,0,1141.0
obj_mae_innov_quarterly,24000,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=24000,not-recorded,0,36.5
obj_mae_innov_weekly,359,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=359,not-recorded,0,33.4
obj_mae_innov_yearly,23000,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=23000,not-recorded,0,23.9
obj_mse_innov_weekly,359,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=359,not-recorded,0,28.5
obj_ridge_innov_monthly,48000,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=48000,not-recorded,0,135.7
obj_ridge_innov_quarterly,24000,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=24000,not-recorded,0,25.0
obj_ridge_innov_weekly,359,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=359,not-recorded,0,28.6
obj_ridge_innov_yearly,23000,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=23000,not-recorded,0,23.6
req_false_monthly,48000,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=48000,not-recorded,0,145.6
req_false_quarterly,24000,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=24000,not-recorded,0,25.7
req_false_yearly,23000,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=23000,not-recorded,0,23.8
req_true_monthly,48000,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=48000,not-recorded,0,143.8
req_true_quarterly,24000,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=24000,not-recorded,0,25.5
req_true_yearly,23000,0,0,0,0,0.000000,0.000000,0,LOCALLY_SOLVED=23000,not-recorded,0,23.5
smoke_innov_monthly,1000,0,0,0,0,0.000000,0.000000,not-recorded,not-recorded,not-recorded,0,52.0
smoke_ridge_monthly,1000,0,0,0,0,0.000000,0.000000,not-recorded,not-recorded,not-recorded,0,46.3
