# Verification of campaign reproduction: archived value vs re-fit under 3d7f883,
# env/Manifest.toml (MathOptInterface 1.48.0), seeded sample, seed 20260828.
# Produced by scripts/verify_reproduction.jl. See REPRODUCE.md section 3.
freq,braco,series,smape_gravado,smape_refeito,delta,ordem_gravada,ordem_refeita,status
weekly,base,279,5.6846,5.6846,0.0,"1,1,1,0,0,0","1,1,1,0,0,0","OK"
weekly,base,15,11.9194,11.9194,0.0,"3,1,1,0,0,0","3,1,1,0,0,0","OK"
weekly,base,150,1.8458,1.8458,0.0,"2,1,2,0,0,0","2,1,2,0,0,0","OK"
weekly,base,92,2.2534,2.2534,0.0,"3,2,3,0,0,0","3,2,3,0,0,0","OK"
weekly,base,359,14.4752,14.4752,0.0,"1,0,1,0,0,0","1,0,1,0,0,0","OK"
weekly,base,97,3.659,3.659,0.0,"1,1,1,0,0,0","1,1,1,0,0,0","OK"
weekly,base,1,2.7753,2.7753,0.0,"4,2,1,0,0,0","4,2,1,0,0,0","OK"
weekly,base,345,11.8381,11.8381,0.0,"0,1,3,0,0,0","0,1,3,0,0,0","OK"
weekly,base,69,2.0641,2.0641,0.0,"4,2,2,0,0,0","4,2,2,0,0,0","OK"
weekly,base,71,5.6841,5.6841,0.0,"0,1,4,0,0,0","0,1,4,0,0,0","OK"
weekly,base,322,10.3299,10.3299,0.0,"1,0,1,0,0,0","1,0,1,0,0,0","OK"
weekly,base,173,8.2945,8.2945,0.0,"1,1,5,0,0,0","1,1,5,0,0,0","OK"
weekly,base,154,0.4654,0.4654,0.0,"1,2,2,0,0,0","1,2,2,0,0,0","OK"
weekly,base,159,0.5117,0.5117,0.0,"5,2,0,0,0,0","5,2,0,0,0,0","OK"
weekly,base,21,15.5104,15.5104,0.0,"2,1,2,0,0,0","2,1,2,0,0,0","OK"
weekly,base,59,14.8968,14.8968,0.0,"1,1,1,0,0,0","1,1,1,0,0,0","OK"
weekly,base,32,30.1167,30.1167,0.0,"4,1,3,0,0,0","4,1,3,0,0,0","OK"
weekly,base,324,20.07,20.07,0.0,"1,0,0,0,0,0","1,0,0,0,0,0","OK"
weekly,base,210,12.6216,12.6216,0.0,"5,1,0,0,0,0","5,1,0,0,0,0","OK"
weekly,base,321,9.3782,9.3782,0.0,"1,0,0,0,0,0","1,0,0,0,0,0","OK"
weekly,base,11,13.6106,13.6106,0.0,"4,1,5,0,0,0","4,1,5,0,0,0","OK"
