# Verification of campaign reproduction: archived value vs re-fit under 3d7f883,
# env/Manifest.toml (MathOptInterface 1.48.0), seeded sample, seed 20260828.
# Produced by scripts/verify_reproduction.jl. See REPRODUCE.md section 3.
freq,braco,series,smape_gravado,smape_refeito,delta,ordem_gravada,ordem_refeita,status
yearly,-,9956,42.8841,42.8841,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
yearly,-,667,20.2805,20.2805,0.0,"0,2,0,0,0,0","0,2,0,0,0,0","OK"
yearly,-,5123,4.3173,4.3173,0.0,"1,0,1,0,0,0","1,0,1,0,0,0","OK"
yearly,-,18192,10.8719,10.8719,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,-,13988,43.0047,43.0047,0.0,"1,0,0,0,0,0","1,0,0,0,0,0","OK"
yearly,-,7551,3.6135,3.6135,0.0,"0,2,0,0,0,0","0,2,0,0,0,0","OK"
yearly,-,16655,4.7361,4.7361,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
yearly,-,819,1.7979,1.7979,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,-,20255,32.7727,32.7727,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
yearly,-,1035,2.1073,2.1073,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
yearly,-,8000,13.7912,13.7912,0.0,"2,2,1,0,0,0","2,2,1,0,0,0","OK"
yearly,-,2426,5.8847,5.8847,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,-,1466,9.6271,9.6271,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,-,7316,10.6789,10.6789,0.0,"0,2,1,0,0,0","0,2,1,0,0,0","OK"
yearly,-,2901,5.5018,5.5018,0.0,"1,2,0,0,0,0","1,2,0,0,0,0","OK"
yearly,-,1776,7.0266,7.0266,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,-,12391,2.9219,2.9219,0.0,"0,2,1,0,0,0","0,2,1,0,0,0","OK"
yearly,-,15740,1.415,1.415,0.0,"0,2,2,0,0,0","0,2,2,0,0,0","OK"
yearly,-,14042,41.2366,41.2366,0.0,"1,0,0,0,0,0","1,0,0,0,0,0","OK"
yearly,-,11397,3.0415,3.0415,0.0,"0,2,0,0,0,0","0,2,0,0,0,0","OK"
yearly,-,4439,0.7843,0.7843,0.0,"0,2,2,0,0,0","0,2,2,0,0,0","OK"
yearly,-,6657,3.9172,3.9172,0.0,"0,2,1,0,0,0","0,2,1,0,0,0","OK"
yearly,-,14987,1.9712,1.9712,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,-,53,82.0579,82.0579,0.0,"1,2,0,0,0,0","1,2,0,0,0,0","OK"
yearly,-,21904,4.5301,4.5301,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
quarterly,-,17312,18.0244,18.0244,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
quarterly,-,13592,3.8312,3.8312,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
quarterly,-,18135,10.8713,10.8713,0.0,"1,0,0,1,0,0","1,0,0,1,0,0","OK"
quarterly,-,20535,2.7911,2.7911,0.0,"0,1,1,1,1,1","0,1,1,1,1,1","OK"
quarterly,-,19738,8.3972,8.3972,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
quarterly,-,23629,3.6446,3.6446,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
quarterly,-,17676,14.9209,14.9209,0.0,"0,1,2,0,0,1","0,1,2,0,0,1","OK"
quarterly,-,11989,10.403,10.403,0.0,"0,1,1,1,0,0","0,1,1,1,0,0","OK"
quarterly,-,17017,4.2132,4.2132,0.0,"0,1,0,1,0,0","0,1,0,1,0,0","OK"
quarterly,-,997,1.8967,1.8967,0.0,"2,2,1,0,0,0","2,2,1,0,0,0","OK"
quarterly,-,20762,78.9859,78.9859,0.0,"1,0,0,0,0,0","1,0,0,0,0,0","OK"
quarterly,-,195,0.6931,0.6931,0.0,"0,1,0,1,1,1","0,1,0,1,1,1","OK"
quarterly,-,23945,58.7364,58.7364,0.0,"0,1,1,0,0,1","0,1,1,0,0,1","OK"
quarterly,-,478,2.5298,2.5298,0.0,"2,0,1,0,1,1","2,0,1,0,1,1","OK"
quarterly,-,22053,5.9722,5.9722,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
quarterly,-,21875,46.6629,46.6629,0.0,"1,1,3,0,0,0","1,1,3,0,0,0","OK"
quarterly,-,9237,7.0575,7.0575,0.0,"0,1,3,1,0,0","0,1,3,1,0,0","OK"
quarterly,-,10962,12.3898,12.3898,0.0,"3,0,0,2,1,0","3,0,0,2,1,0","OK"
quarterly,-,19516,30.9024,30.9024,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
quarterly,-,15439,3.9668,3.9668,0.0,"1,1,0,0,0,1","1,1,0,0,0,1","OK"
quarterly,-,21354,2.924,2.924,0.0,"0,1,0,0,0,1","0,1,0,0,0,1","OK"
quarterly,-,18893,1.8,1.8,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
quarterly,-,12443,9.166,9.166,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
quarterly,-,15004,68.4391,68.4391,0.0,"0,0,0,0,0,0","0,0,0,0,0,0","OK"
quarterly,-,6132,2.994,2.994,0.0,"3,0,2,0,1,0","3,0,2,0,1,0","OK"
weekly,-,175,1.158,1.158,0.0,"5,2,0,0,0,0","5,2,0,0,0,0","OK"
weekly,-,353,11.051,11.051,0.0,"2,0,2,0,0,0","2,0,2,0,0,0","OK"
weekly,-,71,5.6841,5.6841,0.0,"0,1,4,0,0,0","0,1,4,0,0,0","OK"
weekly,-,126,0.7598,0.7598,0.0,"2,1,1,0,0,0","2,1,1,0,0,0","OK"
weekly,-,349,13.611,13.611,0.0,"1,1,1,0,0,0","1,1,1,0,0,0","OK"
weekly,-,149,0.8156,0.8156,0.0,"3,1,3,0,0,0","3,1,3,0,0,0","OK"
weekly,-,302,11.2443,11.2443,0.0,"1,0,0,0,0,0","1,0,0,0,0,0","OK"
weekly,-,316,9.2181,9.2181,0.0,"1,0,4,0,0,0","1,0,4,0,0,0","OK"
weekly,-,359,14.4752,14.4752,0.0,"1,0,1,0,0,0","1,0,1,0,0,0","OK"
weekly,-,47,4.2332,4.2332,0.0,"2,1,2,0,0,0","2,1,2,0,0,0","OK"
weekly,-,121,1.4375,1.4375,0.0,"5,2,0,0,0,0","5,2,0,0,0,0","OK"
weekly,-,187,2.3604,2.3604,0.0,"2,1,0,0,0,0","2,1,0,0,0,0","OK"
weekly,-,144,15.5203,15.5203,0.0,"2,1,2,0,0,0","2,1,2,0,0,0","OK"
weekly,-,40,1.875,1.875,0.0,"1,1,1,0,0,0","1,1,1,0,0,0","OK"
weekly,-,129,0.458,0.458,0.0,"4,2,1,0,0,0","4,2,1,0,0,0","OK"
weekly,-,127,6.0391,6.0391,0.0,"5,2,0,0,0,0","5,2,0,0,0,0","OK"
weekly,-,35,38.3708,38.3708,0.0,"2,1,2,0,0,0","2,1,2,0,0,0","OK"
weekly,-,142,1.3269,1.3269,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
weekly,-,238,25.6091,25.6091,0.0,"5,1,3,0,0,0","5,1,3,0,0,0","OK"
weekly,-,156,1.6769,1.6769,0.0,"1,1,2,0,0,0","1,1,2,0,0,0","OK"
weekly,-,136,1.839,1.839,0.0,"1,2,2,0,0,0","1,2,2,0,0,0","OK"
weekly,-,22,13.4665,13.4665,0.0,"2,1,1,0,0,0","2,1,1,0,0,0","OK"
weekly,-,279,5.6846,5.6846,0.0,"1,1,1,0,0,0","1,1,1,0,0,0","OK"
