# Verification of campaign reproduction: archived value vs re-fit under 3d7f883,
# env/Manifest.toml (MathOptInterface 1.48.0), seeded sample, seed 20260828.
# Produced by scripts/verify_reproduction.jl. See REPRODUCE.md section 3.
freq,braco,series,smape_gravado,smape_refeito,delta,ordem_gravada,ordem_refeita,status
monthly,base,24751,1.6058,1.6058,0.0,"1,1,1,1,0,0","1,1,1,1,0,0","OK"
monthly,base,29259,0.854,0.854,0.0,"1,0,3,0,1,1","1,0,3,0,1,1","OK"
monthly,base,32002,0.9751,0.9751,0.0,"2,2,1,0,0,2","2,2,1,0,0,2","OK"
monthly,base,36026,11.4827,11.4827,0.0,"1,2,1,2,0,0","1,2,1,2,0,0","OK"
monthly,base,18784,25.1071,25.1071,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,base,3192,3.0882,3.0882,0.0,"2,1,0,0,0,0","2,1,0,0,0,0","OK"
monthly,base,8949,12.662,12.662,0.0,"0,1,0,0,1,1","0,1,0,0,1,1","OK"
monthly,base,3253,6.0619,6.0619,0.0,"0,1,1,0,0,2","0,1,1,0,0,2","OK"
monthly,base,38677,14.2739,14.2739,0.0,"0,1,1,1,0,0","0,1,1,1,0,0","OK"
monthly,base,5022,7.2163,7.2163,0.0,"4,1,1,2,0,0","4,1,1,2,0,0","OK"
monthly,base,5357,1.5185,1.5185,0.0,"0,1,1,2,0,0","0,1,1,2,0,0","OK"
monthly,base,24535,0.9061,0.9061,0.0,"0,1,4,1,0,0","0,1,4,1,0,0","OK"
monthly,base,3075,4.9515,4.9515,0.0,"1,1,2,2,0,0","1,1,2,2,0,0","OK"
monthly,base,31268,28.2897,28.2897,0.0,"0,1,1,1,0,1","0,1,1,1,0,1","OK"
monthly,base,42937,20.9964,20.9964,0.0,"1,1,0,0,0,1","1,1,0,0,0,1","OK"
monthly,base,29446,2.9671,2.9671,0.0,"0,1,0,0,1,1","0,1,0,0,1,1","OK"
monthly,base,39911,12.1833,12.1833,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,base,892,1.6133,1.6214,0.0081,"2,1,1,0,1,1","0,1,2,0,1,1","OK"
monthly,base,26505,5.3022,5.3022,0.0,"1,1,2,0,0,2","1,1,2,0,0,2","OK"
monthly,base,11322,1.7643,1.7643,0.0,"0,1,1,2,0,0","0,1,1,2,0,0","OK"
monthly,base,30480,0.7522,0.7522,0.0,"0,2,2,0,0,1","0,2,2,0,0,1","OK"
monthly,base,38857,1.3024,1.3024,0.0,"0,1,2,0,0,0","0,1,2,0,0,0","OK"
monthly,base,43826,8.8395,8.8395,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,base,35945,6.7663,6.7663,0.0,"0,2,2,0,0,0","0,2,2,0,0,0","OK"
monthly,base,33946,2.0942,2.0942,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
monthly,multi,19084,17.3027,17.3027,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,multi,32664,1.9443,1.9443,0.0,"1,1,0,2,0,0","1,1,0,2,0,0","OK"
monthly,multi,7711,45.0055,45.0055,0.0,"2,1,2,0,0,0","2,1,2,0,0,0","OK"
monthly,multi,6695,11.2994,11.2994,0.0,"0,2,1,1,0,0","0,2,1,1,0,0","OK"
monthly,multi,29515,1.2046,1.2046,0.0,"0,1,2,1,1,1","0,1,2,1,1,1","OK"
monthly,multi,27163,1.9874,1.9874,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,multi,31142,17.4423,17.4423,0.0,"2,1,2,0,0,0","2,1,2,0,0,0","OK"
monthly,multi,40988,7.5272,7.5272,0.0,"1,2,1,0,0,0","1,2,1,0,0,0","OK"
monthly,multi,4768,15.0552,15.0552,0.0,"2,1,3,0,0,2","2,1,3,0,0,2","OK"
monthly,multi,30067,7.8335,7.8335,0.0,"0,1,1,1,0,0","0,1,1,1,0,0","OK"
monthly,multi,4580,35.914,35.914,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
monthly,multi,24535,0.9061,0.9061,0.0,"0,1,4,1,0,0","0,1,4,1,0,0","OK"
monthly,multi,35011,28.6593,28.6593,0.0,"0,1,1,0,0,1","0,1,1,0,0,1","OK"
monthly,multi,18290,48.8475,48.8475,0.0,"1,1,0,0,0,0","1,1,0,0,0,0","OK"
monthly,multi,32906,5.6646,5.6646,0.0,"0,0,1,0,1,2","0,0,1,0,1,2","OK"
monthly,multi,29446,2.9671,2.9671,0.0,"0,1,0,0,1,1","0,1,0,0,1,1","OK"
monthly,multi,3192,3.0882,3.0882,0.0,"2,1,0,0,0,0","2,1,0,0,0,0","OK"
monthly,multi,9847,17.0752,17.0752,0.0,"0,1,2,1,0,0","0,1,2,1,0,0","OK"
monthly,multi,28453,2.9411,2.9411,0.0,"0,2,1,2,0,0","0,2,1,2,0,0","OK"
monthly,multi,18866,41.5528,41.5528,0.0,"0,2,1,0,0,0","0,2,1,0,0,0","OK"
monthly,multi,16808,17.1088,17.1088,0.0,"0,2,1,0,0,0","0,2,1,0,0,0","OK"
monthly,multi,28200,1.2349,1.2349,0.0,"2,1,1,0,1,1","2,1,1,0,1,1","OK"
monthly,multi,41739,24.332,24.332,0.0,"0,1,1,0,0,1","0,1,1,0,0,1","OK"
monthly,multi,33946,2.0942,2.0942,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
monthly,multi,8297,49.6163,49.6163,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
