# Verification of campaign reproduction: archived value vs re-fit under 3d7f883,
# env/Manifest.toml (MathOptInterface 1.48.0), seeded sample, seed 20260828.
# Produced by scripts/verify_reproduction.jl. See REPRODUCE.md section 3.
freq,braco,series,smape_gravado,smape_refeito,delta,ordem_gravada,ordem_refeita,status
monthly,mse,16580,11.4833,11.4833,0.0,"1,0,0,0,0,0","1,0,0,0,0,0","OK"
monthly,mse,16323,5.0904,5.0904,0.0,"1,1,0,1,0,0","1,1,0,1,0,0","OK"
monthly,mse,9973,21.3378,21.3378,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,mse,19768,24.1969,24.1969,0.0,"0,1,2,0,0,2","0,1,2,0,0,2","OK"
monthly,mse,25882,11.2749,11.2749,0.0,"1,0,1,1,1,1","1,0,1,1,1,1","OK"
monthly,mse,6138,15.5006,15.5006,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
monthly,mse,41968,6.76,6.76,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,mse,27841,2.3691,2.3691,0.0,"1,1,0,2,0,1","1,1,0,2,0,1","OK"
monthly,mse,5933,21.0383,21.0383,0.0,"0,1,1,0,0,1","0,1,1,0,0,1","OK"
monthly,mse,40476,0.9427,0.9427,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,mse,24163,4.9715,4.9715,0.0,"0,1,1,0,0,1","0,1,1,0,0,1","OK"
monthly,mse,22041,1.1293,1.1293,0.0,"0,1,0,2,0,0","0,1,0,2,0,0","OK"
monthly,mse,11232,5.1527,5.1527,0.0,"0,1,0,1,1,1","0,1,0,1,1,1","OK"
monthly,mse,24177,3.7227,3.7227,0.0,"0,1,2,2,0,0","0,1,2,2,0,0","OK"
monthly,mse,24560,15.9233,15.9233,0.0,"0,1,4,2,0,0","0,1,4,2,0,0","OK"
monthly,mse,44209,60.9081,60.9081,0.0,"2,1,0,0,0,0","2,1,0,0,0,0","OK"
monthly,mse,10265,4.6923,4.6923,0.0,"2,1,1,1,0,1","2,1,1,1,0,1","OK"
monthly,mse,10158,0.8715,0.8715,0.0,"2,1,0,0,1,2","2,1,0,0,1,2","OK"
monthly,mse,29230,0.7479,0.7479,0.0,"2,1,2,0,1,1","2,1,2,0,1,1","OK"
monthly,mse,13754,6.4599,6.4599,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
monthly,mse,47734,8.712,8.712,0.0,"1,0,0,0,0,0","1,0,0,0,0,0","OK"
monthly,mse,25051,3.8561,3.8561,0.0,"0,1,2,0,0,0","0,1,2,0,0,0","OK"
monthly,mse,29511,1.8389,1.8389,0.0,"0,1,1,1,0,0","0,1,1,1,0,0","OK"
monthly,mse,31171,5.3991,5.3991,0.0,"0,1,1,1,0,0","0,1,1,1,0,0","OK"
monthly,mse,6162,6.2618,6.2618,0.0,"2,1,0,2,0,0","2,1,0,2,0,0","OK"
monthly,mse_zeroed,28121,3.8256,3.8256,0.0,"0,1,1,1,0,0","0,1,1,1,0,0","OK"
monthly,mse_zeroed,29308,4.2259,4.2259,0.0,"3,1,0,0,0,0","3,1,0,0,0,0","OK"
monthly,mse_zeroed,34099,24.0517,24.0517,0.0,"2,0,0,2,1,0","2,0,0,2,1,0","OK"
monthly,mse_zeroed,33583,11.6526,11.6526,0.0,"0,1,1,2,0,2","0,1,1,2,0,2","OK"
monthly,mse_zeroed,17813,31.4828,31.4828,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,mse_zeroed,14354,33.8423,33.8423,0.0,"0,1,1,1,0,1","0,1,1,1,0,1","OK"
monthly,mse_zeroed,31969,1.2818,1.2818,0.0,"3,1,0,0,0,2","3,1,0,0,0,2","OK"
monthly,mse_zeroed,42947,102.0676,102.0676,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,mse_zeroed,6322,10.0038,10.0038,0.0,"3,1,0,1,0,1","3,1,0,1,0,1","OK"
monthly,mse_zeroed,3994,10.6678,10.6678,0.0,"3,0,3,0,1,2","3,0,3,0,1,2","OK"
monthly,mse_zeroed,24917,6.8687,6.8687,0.0,"0,1,1,0,0,2","0,1,1,0,0,2","OK"
monthly,mse_zeroed,1102,1.571,1.571,0.0,"0,1,1,0,1,2","0,1,1,0,1,2","OK"
monthly,mse_zeroed,21375,13.4794,13.4794,0.0,"4,1,0,0,0,0","4,1,0,0,0,0","OK"
monthly,mse_zeroed,11232,4.9207,4.9207,0.0,"0,1,2,0,1,1","0,1,2,0,1,1","OK"
monthly,mse_zeroed,9529,11.2643,11.2643,0.0,"1,2,3,0,0,0","1,2,3,0,0,0","OK"
monthly,mse_zeroed,45480,13.8251,13.8251,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,mse_zeroed,17429,40.7876,40.7876,0.0,"0,1,1,0,0,1","0,1,1,0,0,1","OK"
monthly,mse_zeroed,1845,2.4178,2.4178,0.0,"1,1,0,0,1,2","1,1,0,0,1,2","OK"
monthly,mse_zeroed,38723,40.1817,40.1817,0.0,"2,1,1,1,0,0","2,1,1,1,0,0","OK"
monthly,mse_zeroed,43717,7.0519,7.0519,0.0,"0,2,1,0,0,0","0,2,1,0,0,0","OK"
monthly,mse_zeroed,21174,0.7614,0.7614,0.0,"2,1,2,1,0,1","2,1,2,1,0,1","OK"
