# Verification of campaign reproduction: archived value vs re-fit under 3d7f883,
# env/Manifest.toml (MathOptInterface 1.48.0), seeded sample, seed 20260828.
# Produced by scripts/verify_reproduction.jl. See REPRODUCE.md section 3.
freq,braco,series,smape_gravado,smape_refeito,delta,ordem_gravada,ordem_refeita,status
weekly,mse,36,15.2676,15.2676,0.0,"4,1,2,0,0,0","4,1,2,0,0,0","OK"
weekly,mse,254,0.457,0.457,0.0,"4,2,3,0,0,0","4,2,3,0,0,0","OK"
weekly,mse,290,4.7247,4.7247,0.0,"1,1,1,0,0,0","1,1,1,0,0,0","OK"
weekly,mse,217,1.5279,1.5279,0.0,"2,1,1,0,0,0","2,1,1,0,0,0","OK"
weekly,mse,167,1.9216,1.9216,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
weekly,mse,127,6.0391,6.0391,0.0,"5,2,0,0,0,0","5,2,0,0,0,0","OK"
weekly,mse,155,1.6412,1.6412,0.0,"2,1,2,0,0,0","2,1,2,0,0,0","OK"
weekly,mse,157,0.4302,0.4302,0.0,"3,2,2,0,0,0","3,2,2,0,0,0","OK"
weekly,mse,45,4.2461,4.2461,0.0,"2,1,2,0,0,0","2,1,2,0,0,0","OK"
weekly,mse,297,11.9859,11.9859,0.0,"0,0,1,0,0,0","0,0,1,0,0,0","OK"
weekly,mse,342,8.0718,8.0718,0.0,"1,0,0,0,0,0","1,0,0,0,0,0","OK"
weekly,mse,1,2.7753,2.7753,0.0,"4,2,1,0,0,0","4,2,1,0,0,0","OK"
weekly,mse,298,15.8331,15.8331,0.0,"1,0,0,0,0,0","1,0,0,0,0,0","OK"
weekly,mse,317,7.6981,7.6981,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
weekly,mse,20,13.488,13.488,0.0,"5,1,2,0,0,0","5,1,2,0,0,0","OK"
weekly,mse,205,4.0176,4.0176,0.0,"1,1,4,0,0,0","1,1,4,0,0,0","OK"
weekly,mse,114,2.5587,2.5587,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
weekly,mse,144,15.5203,15.5203,0.0,"2,1,2,0,0,0","2,1,2,0,0,0","OK"
weekly,mse,190,2.212,2.212,0.0,"0,1,2,0,0,0","0,1,2,0,0,0","OK"
weekly,mse,256,12.9621,12.9621,0.0,"1,1,3,0,0,0","1,1,3,0,0,0","OK"
weekly,mse,7,25.955,25.955,0.0,"3,1,4,0,0,0","3,1,4,0,0,0","OK"
weekly,mse,216,1.5571,1.5571,0.0,"0,2,3,0,0,0","0,2,3,0,0,0","OK"
weekly,mse,175,1.158,1.158,0.0,"5,2,0,0,0,0","5,2,0,0,0,0","OK"
weekly,mse,115,2.8017,2.8017,0.0,"4,1,0,0,0,0","4,1,0,0,0,0","OK"
weekly,mse,139,2.8408,2.8408,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
weekly,stable_090,36,13.1182,13.1182,0.0,"5,1,1,0,0,0","5,1,1,0,0,0","OK"
weekly,stable_090,254,0.5125,0.5125,0.0,"5,2,1,0,0,0","5,2,1,0,0,0","OK"
weekly,stable_090,290,4.4027,4.4027,0.0,"1,1,1,0,0,0","1,1,1,0,0,0","OK"
weekly,stable_090,217,1.4332,1.4332,0.0,"5,1,0,0,0,0","5,1,0,0,0,0","OK"
weekly,stable_090,167,1.9264,1.9264,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
weekly,stable_090,127,5.9733,5.9733,0.0,"5,2,0,0,0,0","5,2,0,0,0,0","OK"
weekly,stable_090,155,1.7401,1.7401,0.0,"1,1,0,0,0,0","1,1,0,0,0,0","OK"
weekly,stable_090,157,0.4391,0.4391,0.0,"3,2,2,0,0,0","3,2,2,0,0,0","OK"
weekly,stable_090,45,4.0395,4.0395,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
weekly,stable_090,297,14.3883,14.3883,0.0,"1,0,0,0,0,0","1,0,0,0,0,0","OK"
weekly,stable_090,342,13.658,13.658,0.0,"1,0,1,0,0,0","1,0,1,0,0,0","OK"
weekly,stable_090,1,2.477,2.477,0.0,"0,2,1,0,0,0","0,2,1,0,0,0","OK"
weekly,stable_090,298,18.8054,18.8054,0.0,"1,0,0,0,0,0","1,0,0,0,0,0","OK"
weekly,stable_090,317,7.5062,7.5062,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
weekly,stable_090,20,26.7489,26.7489,0.0,"1,1,1,0,0,0","1,1,1,0,0,0","OK"
weekly,stable_090,205,7.2604,7.2604,0.0,"5,1,0,0,0,0","5,1,0,0,0,0","OK"
weekly,stable_090,114,2.5587,2.5587,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
weekly,stable_090,144,15.4958,15.4958,0.0,"3,1,0,0,0,0","3,1,0,0,0,0","OK"
weekly,stable_090,190,3.3852,3.3852,0.0,"0,1,2,0,0,0","0,1,2,0,0,0","OK"
weekly,stable_090,256,12.2253,12.2253,0.0,"3,1,1,0,0,0","3,1,1,0,0,0","OK"
weekly,stable_090,7,71.3502,71.3502,0.0,"1,1,1,0,0,0","1,1,1,0,0,0","OK"
weekly,stable_090,216,1.5236,1.5236,0.0,"0,2,1,0,0,0","0,2,1,0,0,0","OK"
weekly,stable_090,175,1.1832,1.1832,0.0,"5,2,1,0,0,0","5,2,1,0,0,0","OK"
weekly,stable_090,115,3.2251,3.2251,0.0,"1,1,1,0,0,0","1,1,1,0,0,0","OK"
weekly,stable_090,139,2.8408,2.8408,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
weekly,stable_050,36,14.4244,14.4244,0.0,"5,1,1,0,0,0","5,1,1,0,0,0","OK"
weekly,stable_050,254,0.4579,0.4579,0.0,"4,2,3,0,0,0","4,2,3,0,0,0","OK"
weekly,stable_050,290,4.6752,4.6752,0.0,"5,1,1,0,0,0","5,1,1,0,0,0","OK"
weekly,stable_050,217,1.4855,1.4855,0.0,"2,1,1,0,0,0","2,1,1,0,0,0","OK"
weekly,stable_050,167,1.9168,1.9168,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
weekly,stable_050,127,6.0163,6.0163,0.0,"5,2,0,0,0,0","5,2,0,0,0,0","OK"
weekly,stable_050,155,1.6354,1.6354,0.0,"2,1,2,0,0,0","2,1,2,0,0,0","OK"
weekly,stable_050,157,0.4313,0.4313,0.0,"3,2,2,0,0,0","3,2,2,0,0,0","OK"
weekly,stable_050,45,3.9884,3.9884,0.0,"3,1,2,0,0,0","3,1,2,0,0,0","OK"
weekly,stable_050,297,12.0435,12.0435,0.0,"1,0,2,0,0,0","1,0,2,0,0,0","OK"
weekly,stable_050,342,10.1783,10.1783,0.0,"1,0,0,0,0,0","1,0,0,0,0,0","OK"
weekly,stable_050,1,15.2594,15.2594,0.0,"5,2,0,0,0,0","5,2,0,0,0,0","OK"
weekly,stable_050,298,16.3028,16.3028,0.0,"1,0,0,0,0,0","1,0,0,0,0,0","OK"
weekly,stable_050,317,7.6868,7.6868,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
weekly,stable_050,20,12.6217,12.6217,0.0,"4,1,3,0,0,0","4,1,3,0,0,0","OK"
weekly,stable_050,205,6.3037,6.3037,0.0,"3,1,3,0,0,0","3,1,3,0,0,0","OK"
weekly,stable_050,114,2.5587,2.5587,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
weekly,stable_050,144,15.5596,15.5596,0.0,"2,1,2,0,0,0","2,1,2,0,0,0","OK"
weekly,stable_050,190,2.1228,2.1228,0.0,"0,1,2,0,0,0","0,1,2,0,0,0","OK"
weekly,stable_050,256,11.4966,11.4966,0.0,"5,1,1,0,0,0","5,1,1,0,0,0","OK"
weekly,stable_050,7,25.6246,25.6246,0.0,"0,1,5,0,0,0","0,1,5,0,0,0","OK"
weekly,stable_050,216,1.5542,1.5542,0.0,"5,2,1,0,0,0","5,2,1,0,0,0","OK"
weekly,stable_050,175,1.1669,1.1669,0.0,"5,2,0,0,0,0","5,2,0,0,0,0","OK"
weekly,stable_050,115,2.8243,2.8243,0.0,"4,1,0,0,0,0","4,1,0,0,0,0","OK"
weekly,stable_050,139,2.8408,2.8408,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,mse,8751,9.4319,9.4319,0.0,"2,2,2,0,0,0","2,2,2,0,0,0","OK"
yearly,mse,18077,13.7721,13.7721,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
yearly,mse,1952,15.1034,15.1034,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,mse,716,1.0937,1.0937,0.0,"1,1,0,0,0,0","1,1,0,0,0,0","OK"
yearly,mse,20613,13.9305,13.9305,0.0,"0,1,2,0,0,0","0,1,2,0,0,0","OK"
yearly,mse,914,16.3687,16.3687,0.0,"1,0,0,0,0,0","1,0,0,0,0,0","OK"
yearly,mse,1200,25.1466,25.1466,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,mse,11187,3.8484,3.8484,0.0,"1,1,0,0,0,0","1,1,0,0,0,0","OK"
yearly,mse,10118,6.0244,6.0244,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,mse,16446,1.0855,1.0855,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,mse,4820,5.1402,5.1402,0.0,"2,1,0,0,0,0","2,1,0,0,0,0","OK"
yearly,mse,22392,5.2279,5.2279,0.0,"2,2,1,0,0,0","2,2,1,0,0,0","OK"
yearly,mse,16379,3.3533,3.3533,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
yearly,mse,7025,4.0768,4.0768,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,mse,355,5.5676,5.5676,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,mse,12753,27.0928,27.0928,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,mse,7071,19.4712,19.4712,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
yearly,mse,3425,6.6739,6.6739,0.0,"2,0,0,0,0,0","2,0,0,0,0,0","OK"
yearly,mse,12250,33.647,33.647,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
yearly,mse,22669,6.6496,6.6496,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,mse,16834,2.1859,2.1859,0.0,"0,0,1,0,0,0","0,0,1,0,0,0","OK"
yearly,mse,310,22.6375,22.6375,0.0,"1,0,0,0,0,0","1,0,0,0,0,0","OK"
yearly,mse,68,6.298,6.298,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
yearly,mse,21672,26.4724,26.4724,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,mse,16421,15.3754,15.3754,0.0,"1,1,0,0,0,0","1,1,0,0,0,0","OK"
yearly,stable_090,8751,9.2748,9.2748,0.0,"1,2,2,0,0,0","1,2,2,0,0,0","OK"
yearly,stable_090,18077,6.5146,6.5146,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,stable_090,1952,12.2104,12.2104,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,stable_090,716,1.1339,1.1339,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,stable_090,20613,16.4676,16.4676,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,stable_090,914,29.1091,29.1091,0.0,"0,0,0,0,0,0","0,0,0,0,0,0","OK"
yearly,stable_090,1200,31.557,31.557,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,stable_090,11187,4.6438,4.6438,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
yearly,stable_090,10118,9.6764,9.6764,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,stable_090,16446,6.6131,6.6131,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,stable_090,4820,21.4405,21.4405,0.0,"1,1,0,0,0,0","1,1,0,0,0,0","OK"
yearly,stable_090,22392,4.2428,4.2428,0.0,"2,2,1,0,0,0","2,2,1,0,0,0","OK"
yearly,stable_090,16379,3.8501,3.8501,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,stable_090,7025,6.3784,6.3784,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,stable_090,355,5.2575,5.2575,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,stable_090,12753,28.2142,28.2142,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,stable_090,7071,18.0523,18.0523,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,stable_090,3425,9.063,9.063,0.0,"2,0,0,0,0,0","2,0,0,0,0,0","OK"
yearly,stable_090,12250,32.1685,32.1685,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
yearly,stable_090,22669,6.6496,6.6496,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,stable_090,16834,1.9675,1.9675,0.0,"0,0,1,0,0,0","0,0,1,0,0,0","OK"
yearly,stable_090,310,19.6417,19.6417,0.0,"2,0,0,0,0,0","2,0,0,0,0,0","OK"
yearly,stable_090,68,11.9824,11.9824,0.0,"1,1,0,0,0,0","1,1,0,0,0,0","OK"
yearly,stable_090,21672,26.4724,26.4724,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
yearly,stable_090,16421,9.5998,9.5998,0.0,"1,1,0,0,0,0","1,1,0,0,0,0","OK"
yearly,stable_050,8751,8.5116,8.5116,0.0,"0,2,1,0,0,0","0,2,1,0,0,0","OK"
yearly,stable_050,18077,13.9374,13.9374,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
yearly,stable_050,1952,14.2502,14.2502,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
